AZ [deg], EL [deg], AZ_scanoffset [arcsec], power [dBm], T_B [K]
256.867835,12.826362,-4320.000000,-20.030000,10.590758
256.868677,12.825311,-4320.000000,-20.033000,10.565031
256.869520,12.824259,-4320.000000,-20.240000,8.789900
256.870362,12.823208,-4320.000000,-20.110000,9.904717
256.871204,12.822157,-4320.000000,-20.040000,10.505002
256.872505,12.820533,-4320.000000,-20.580000,5.874226
256.934254,12.819549,-4105.945946,-20.001000,10.839447
256.996001,12.818566,-3891.891892,-19.998000,10.865174
257.057748,12.817583,-3677.837838,-19.680000,13.592187
257.119495,12.816600,-3463.783784,-19.650000,13.849452
257.181241,12.815616,-3249.729730,-19.550000,14.707003
257.242987,12.814633,-3035.675676,-19.533000,14.852787
257.304732,12.813650,-2821.621622,-19.455000,15.521677
257.366477,12.812667,-2607.567568,-19.433000,15.710338
257.428221,12.811684,-2393.513514,-19.333000,16.567889
257.489965,12.810700,-2179.459459,-19.233000,17.425441
257.551708,12.809717,-1965.405405,-19.133000,18.282992
257.613451,12.808734,-1751.351351,-19.033000,19.140543
257.675193,12.807751,-1537.297297,-19.000000,19.423535
257.736935,12.806767,-1323.243243,-17.740000,30.228680
257.798677,12.805784,-1109.189189,-15.500000,49.437828
257.860417,12.804801,-895.135135,-9.550000,100.462125
257.922158,12.803818,-681.081081,-9.554000,100.427823
257.983897,12.802835,-467.027027,-9.533000,100.607909
258.045637,12.801851,-252.972973,-9.498000,100.908051
258.107376,12.800868,-38.918919,-9.500000,100.890900
258.169114,12.799885,175.135135,-9.502000,100.873749
258.230852,12.798902,389.189189,-14.000000,62.301096
258.292589,12.797918,603.243243,-17.000000,36.574559
258.354326,12.796935,817.297297,-18.300000,25.426394
258.416063,12.795952,1031.351351,-19.000000,19.423535
258.477799,12.794969,1245.405405,-19.700000,13.420677
258.539534,12.793985,1459.459459,-20.053000,10.393521
258.601270,12.793002,1673.513514,-20.067000,10.273464
258.663004,12.792019,1887.567568,-20.053000,10.393521
258.724738,12.791036,2101.621622,-20.043200,10.477561
258.786472,12.790052,2315.675676,-20.043200,10.477561
258.848205,12.789069,2529.729730,-20.043200,10.477561
258.909938,12.788086,2743.783784,-20.076740,10.189938
258.971670,12.787103,2957.837838,-20.063000,10.307766
259.033402,12.786119,3171.891892,-20.063000,10.307766
259.095133,12.785136,3385.945946,-20.063000,10.307766
259.156864,12.784153,3600.000000,-20.063000,10.307766
259.156864,12.784152,3600.000000,-20.063000,10.307766
259.157694,12.783104,3600.000000,-20.063000,10.307766
259.158525,12.782055,3600.000000,-20.063000,10.307766
259.159355,12.781006,3600.000000,-20.063000,10.307766
259.160186,12.779957,3600.000000,-20.464000,6.868985
259.161016,12.778908,3600.000000,-20.865000,3.430205
