AZ [deg], EL [deg], AZ_scanoffset [arcsec], power [dBm], T_B [K]
256.733882,12.993405,-4320.000000,-20.200000,4.075554
256.734725,12.992355,-4320.000000,-20.000000,5.822220
256.735569,12.991303,-4320.000000,-20.030000,5.560220
256.736414,12.990251,-4320.000000,-20.033000,5.534020
256.737258,12.989200,-4320.000000,-20.240000,3.726221
256.738503,12.987648,-4320.000000,-20.110000,4.861554
256.800294,12.986665,-4105.945946,-20.040000,5.472887
256.862083,12.985682,-3891.891892,-20.580000,0.756889
256.923872,12.984699,-3677.837838,-20.001000,5.813487
256.985661,12.983717,-3463.783784,-19.998000,5.839687
257.047449,12.982734,-3249.729730,-19.680000,8.616886
257.109237,12.981751,-3035.675676,-19.650000,8.878886
257.171024,12.980768,-2821.621622,-19.550000,9.752219
257.232811,12.979785,-2607.567568,-19.533000,9.900685
257.294597,12.978802,-2393.513514,-19.455000,10.581885
257.356383,12.977819,-2179.459459,-19.433000,10.774018
257.418168,12.976836,-1965.405405,-19.333000,11.647351
257.479952,12.975854,-1751.351351,-19.233000,12.520684
257.541737,12.974871,-1537.297297,-19.133000,13.394017
257.603520,12.973888,-1323.243243,-19.033000,14.267350
257.665303,12.972905,-1109.189189,-18.000000,23.288881
257.727086,12.971922,-895.135135,-17.000000,32.022211
257.788868,12.970939,-681.081081,-13.000000,66.955531
257.850650,12.969956,-467.027027,-10.040000,92.806189
257.912431,12.968973,-252.972973,-10.020000,92.980855
257.974212,12.967990,-38.918919,-10.024000,92.945922
258.035992,12.967007,175.135135,-10.011000,93.059455
258.097772,12.966025,389.189189,-10.329000,90.282256
258.159551,12.965042,603.243243,-10.647000,87.505057
258.221330,12.964059,817.297297,-14.000000,58.222201
258.283108,12.963076,1031.351351,-17.000000,32.022211
258.344886,12.962093,1245.405405,-18.300000,20.668881
258.406663,12.961110,1459.459459,-19.000000,14.555550
258.468440,12.960127,1673.513514,-20.400000,2.328888
258.530217,12.959144,1887.567568,-20.053000,5.359354
258.591993,12.958161,2101.621622,-20.067000,5.237087
258.653768,12.957178,2315.675676,-20.053000,5.359354
258.715543,12.956195,2529.729730,-20.043200,5.444940
258.777317,12.955213,2743.783784,-20.043200,5.444940
258.839091,12.954230,2957.837838,-20.043200,5.444940
258.900865,12.953247,3171.891892,-20.076740,5.152024
258.962638,12.952264,3385.945946,-20.063000,5.272020
259.024410,12.951281,3600.000000,-20.063000,5.272020
259.024410,12.951281,3600.000000,-20.063000,5.272020
259.025242,12.950232,3600.000000,-20.063000,5.272020
259.026074,12.949184,3600.000000,-20.063000,5.272020
259.026905,12.948135,3600.000000,-20.063000,5.272020
259.027737,12.947087,3600.000000,-20.063000,5.272020
259.028569,12.946038,3600.000000,-20.063000,5.272020
